Product URL,Product Name,Product Price,Rating,Number of Reviews,availability,ASIN,Product Description,Manufacturer
https://www.amazon.in/EUME-Tourismo-Backpack-Resistance-15-6-inch/dp/B0B4JQSMD5,EUME Tourismo 36L Laptop Backpack Bag with 2 Large Compartment for Work Office & Business Travel for Men & Women | Water Resistance | Fit Up to 16 Inch Laptop,"₹2,499",7 ratings,4.4 out of 5 stars,In stock,B0BB2V2NFB,No Description,Visit the EUME Store
https://www.amazon.in/Safari-SAGE18FBBLK-Sage-Formal-Backpack/dp/B097JLZBK3,Sage Formal Backpack - black,"₹3,499",2 ratings,5.0 out of 5 stars,Only 3 left in stock,B097JLZBK3,"For the new age professional, the Safari Sage is the answer to all backpacking needs. The dedicated laptop and tablet sleeves and the Multi Utility Organiser ensures that there is a place for all your essentials. The water resistant and highly durable premium fabric ensures that all your belongings are safe, irrespective of the conditions. The Smart Sleeve allows you to slide your backpack on your luggage for a seamless travel experience. The USB Charging Port keeps you connected always. Its handy Sunglasses Pouch makes sure you never miss a chance to impress!",Visit the Safari Store
https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA,F Gear Luxur Brown 25 liter Laptop Backpack (2404),"₹1,162.00","16,967 ratings",4.4 out of 5 stars,In stock,B01F7AX9ZA,"A fashionable laptop backpack. This full-featured pack makes space for everything essential with multiple zip pockets on the exterior, plus a ready-to-go interior with padded laptop compartment and other storage solutions. Pattern: Solid. Laptop Size: 16",Visit the F Gear Store
https://www.amazon.in/Arctic-Fox-Backpack-Charging-Laptop/dp/B0BZPT6CSK,Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),"₹1,439","4,028 ratings",4.5 out of 5 stars,In stock,B0BZPT6CSK,"Introducing Slope Anti-Theft backpack to secure your essentials. A Multi-functional Laptop bag that has feature-rich updates like Anti-theft, mobile charging port, and a new tech-inspired design making it a prefect bag for laptop to organize your electronics and simplify your life on-the-go..",Visit the Arctic Fox Store
https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹398.00,"9,471 ratings",4.1 out of 5 stars,In stock,B088XB5XY8,No Description,Brand: MI
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2,Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Black,₹899,971 ratings,3.9 out of 5 stars,In stock,B09B25Z8M2,"Safari Quill is a 26 Litres, 2 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.",Visit the Safari Store
https://www.amazon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM,ADISA 31 Ltrs Casual Backpack School College Bag Pack,₹399,127 ratings,3.8 out of 5 stars,In stock,B0BXJTF2P6,"Light weight and spacious casual backpack with 2 compartments and 1 front easy-access pocket. The front and back of the backpack are fully padded for cushioning. It has organiser for pens, visiting cards, etc along with space for carrying papers, files, books, etc. It is spacious enough to keep all your stuff. It has provision for holding bottles/unmrella on both sides and has adjustable padded shoulder straps for your comfort. The logo of the bag is Reflective so it will glow when light hits it which is a very important safety feature, specially when on road.",Visit the ADISA Store
https://www.amazon.in/Backpack-Laptop-Charging-Resistant-Fabric/dp/B09PYXVKK2,FUR JADEN Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port For Men Women Boys Girls,₹839.00,"13,801 ratings",4.0 out of 5 stars,In stock,B078GLXMDY,"This durable and lightweight backpack from Fur Jaden can keep you sorted throughout the day while also being super stylish, thus making it the perfect modern and functional accessory for any user – male or female. This backpack can be the perfect complement to your bold and charismatic persona, while its multiple inner chambers can hold all your stuff with convenience. Fur Jaden backpacks are young, vibrant and fashionable accessories which are also a symbol of sophistication. This backpack is high on aesthetics as well as on utility and functionality. This unisex backpack from Fur Jaden comes in an anti-theft design which lets you carry your laptop anywhere with confidence. Keep your belongings secure as your score high on the style quotient with this functional backpack. One of the most striking features of this backpack is that it allows you to charge your phone while you are travelling. The charging dock which comes attached to the backpack allows you to connect your portable charger seamlessly for maximum convenience.The material of this backpack from Fur Jaden is water resistant, which keeps any worries about getting it wet in the rain or accidental splashes at bay. Your laptop and every other belonging will stay safe from water as long as you keep them inside your backpack. This backpack from Fur Jaden comes with substantial capacity to accommodate your laptop and other goods with ease. The large capacity of this backpack can store laptops up to a 15.6 inches without any hassle. Weighing in at only 0.7kg, this Fur Jaden backpack with anti-theft feature is a breeze to carry around. Most of the weight you will feel is that of the goods you carry inside, as the backpack does not impose much weight on the user. This multipurpose and water resistant backpack from Fur Jaden can take you from day to night, thanks to its multiple compartments. With 1 main compartment and 7 small, inner pockets, it lets you store all your belongings and keeps them sorted too. Pattern: Solid.",Brand: FUR JADEN
https://www.amazon.in/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LF6S6B,"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey,Oxford Fabric)","₹1,599.00","2,170 ratings",4.4 out of 5 stars,In stock,B084LF4RT5,No Description,Visit the FATMUG Store
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG,Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue,₹899,712 ratings,4.0 out of 5 stars,In stock,B09B28TKLG,"Safari Quill is a 26 Litres, 2 compartment laptop backpack perfect for daily usage. It has a dedicated tech safe laptop sleeve that can hold upto 17 inch laptop or any smaller ones easily. The laptop sleeve is also fully padded from the bottom protecting your device from any shock or damage. This backpack is especially designed for todays fast paced world, where everything should be compact and lightweight. This backpack is perfect for everyday usage such as college, school, tuitions, or short holiday trips. The front pocket is designed to keep your essentials organized and side mesh pockets are perfect for storing your water bottle and umberella. Made of high grade water resistant polyester fabric, this backpack will last you several trips.",Visit the Safari Store
https://www.amazon.in/Casual-Backpack-Charging-Laptop-Pocket/dp/B09M7P1TM1,Fur Jaden Navy Casual Backpack with USB Charging Port and 15.6 Inch Laptop Pocket,₹629.00,"3,670 ratings",3.9 out of 5 stars,Available to ship in 1-2 days,B07G4G3NPD,"Opt for this classy yet functional backpack for men, women, boys and Girls from Fur Jaden to stay ahead in the style game. This durable bag is sturdy, durable, and water resistant so that you can go from day to night. In addition, its many compartments keep all your belongings sorted so that you never have to lose track of anything. Fur Jaden backpacks are young, vibrant and fashionable accessories which are also a statement of sophistication. This backpack is high on aesthetics as well as on utility and functionality. The backpack sports a front pocket for having essentials at your disposal at all times. It also comes with one side pocket which can be used to store your waterbottle as well as your umbrella so that it is always handy when you need it most.",Brand: FUR JADEN
https://www.amazon.in/Swiss-Military-Travel-Backpack-Hardshell/dp/B0C3QQRTX7,"Swiss Military Hard Shell Travel Backpack UFO, Alien Series Dimond Cut ABS Hardshell upto 15.6 Inch Laptop","₹3,899",6 ratings,3.5 out of 5 stars,Only 1 left in stock,B0C3QQRTX7,Swiss Military Hard Shell Travel Backpack,Brand: Swiss Military
